fileName;_ID;use;hostgroups;host_name;address;alias;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399663-N.cfg;utm399663;utm-server;utms;R48-399663-N;R48-399663-N.main.russianpost.ru;ОПС 399663 10.98.133.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\Terbunskijpochtamtprod.cfg;utmTerbunskijpochtamtprod;utm-server;utms;Тербунский почтамт СКЛАД;R48-399540zamkm.main.russianpost.ru;Тербунский почтамт прод 10.98.13.106;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399212-N.cfg;utm399212;utm-server;utms;R48-399212-N;R48-399212-N.main.russianpost.ru;ОПС 399212 10.98.118.162;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399222-N.cfg;utm399222;utm-server;utms;R48-399222-N;R48-399222-N.main.russianpost.ru;ОПС 399222 10.98.119.34;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399241-N.cfg;utm399241;utm-server;utms;R48-399241-N;R48-399241-N.main.russianpost.ru;ОПС 399241 10.98.98.194;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399332-N.cfg;utm399332;utm-server;utms;R48-399332-N;R48-399332-N.main.russianpost.ru;ОПС 399332 10.98.100.98;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48intellect2.cfg;int;utm-server;utms;r48intellect2;r48intellect2.main.russianpost.ru;Интеллект 10.98.1.11;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399337-N.cfg;utm399337;utm-server;utms;R48-399337-N;R48-399337-N.main.russianpost.ru;ОПС 399337 10.98.122.98;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399454-N.cfg;utm399454;utm-server;utms;R48-399454-N;R48-399454-N.main.russianpost.ru;ОПС 399454 10.98.125.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399916-N.cfg;utm399916;utm-server;utms;R48-399916-N;R48-399916-N.main.russianpost.ru;ОПС 399916 10.98.143.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399223.cfg;utm399223;utm-server;utms;R48-399223-N;R48-399223-N.main.russianpost.ru;ОПС 399223 10.98.218.5;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\r48-399876-n.cfg;utm399876;utm-server;utms;R48-399876-N;R48-399876-N.main.russianpost.ru;ОПС 399876 10.98.8.92;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399022-N.cfg;utm399022;utm-server;utms;R48-399022-N;R48-399022-N.main.russianpost.ru;ОПС 399022 Денисово 10.98.115.130;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399251-N.cfg;utm399251;utm-server;utms;R48-399251-N;R48-399251-N.main.russianpost.ru;ОПС 399251 10.98.99.34;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399503-N.cfg;utm399503;utm-server;utms;R48-399503-N;R48-399503-N.main.russianpost.ru;ОПС 399503 10.98.126.162;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399520-N.cfg;utm399520;utm-server;utms;R48-399520-N;R48-399520-N.main.russianpost.ru;ОПС 399520 10.98.103.226;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399799SEC01.cfg;utm399799;utm-server;utms;R48-399799SEC01;R48-399799SEC01.main.russianpost.ru;ОПС 399799 10.98.7.32;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399214-N.cfg;utm399214;utm-server;utms;R48-399214-N;R48-399214-N.main.russianpost.ru;ОПС 399214 10.98.98.66;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399215-N.cfg;utm399215;utm-server;utms;R48-399215-N;R48-399215-N.main.russianpost.ru;ОПС 399215 10.98.217.197;;;;;;;
D:\go_workspace\src\github.com\pprisn\parserfile\1\R48-399330-N.cfg;utm399330;utm-server;utms;R48-399330-N;R48-399330-N.main.russianpost.ru;ОПС 399330 10.98.100.34;;;;;;;
